model,features,n_folds,roc_auc_mean,roc_auc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,roc_auc,f1,precision,recall
random_forest,baseline,5,0.8082948245643303,0.0025346746675619343,0.19642111708113527,0.00925860587373183,0.11926126598362301,0.006460883943581638,0.5570447986252532,0.00824674017139047,0.8083 ± 0.0025,0.1964 ± 0.0093,0.1193 ± 0.0065,0.5570 ± 0.0082
random_forest,extended_no_brs,5,0.8032502447602091,0.002786530221347386,0.18635947594156982,0.006370769876423921,0.11176813239478696,0.00432787782594576,0.5605758160520067,0.008026572787715172,0.8033 ± 0.0028,0.1864 ± 0.0064,0.1118 ± 0.0043,0.5606 ± 0.0080
random_forest,extended,5,0.8019228553857942,0.0034595528113799496,0.1848819734870199,0.006260649146853926,0.11066614034897482,0.004155836468630076,0.5615497926833879,0.009500854933367536,0.8019 ± 0.0035,0.1849 ± 0.0063,0.1107 ± 0.0042,0.5615 ± 0.0095
logistic_regression,extended_no_brs,5,0.7916284647734859,0.004295112735078478,0.2157602945198655,0.004599623482204106,0.1357830400075612,0.003043864796710626,0.5250223329624146,0.010247930787396282,0.7916 ± 0.0043,0.2158 ± 0.0046,0.1358 ± 0.0030,0.5250 ± 0.0102
logistic_regression,extended,5,0.791587304224365,0.004297209413597641,0.21579453520862096,0.004670255940819444,0.13581043346885435,0.003104502625601456,0.5250223329624146,0.010247930787396282,0.7916 ± 0.0043,0.2158 ± 0.0047,0.1358 ± 0.0031,0.5250 ± 0.0102
logistic_regression,baseline,5,0.791573623570915,0.004304948297664849,0.21562369684907873,0.004780011365707128,0.1356750495918162,0.0031842264935427636,0.5250223329624146,0.010247930787396282,0.7916 ± 0.0043,0.2156 ± 0.0048,0.1357 ± 0.0032,0.5250 ± 0.0102
