model,features,n_folds,roc_auc_mean,roc_auc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,roc_auc,f1,precision,recall
random_forest,extended_no_brs,5,0.7501720158606824,0.003780298264012551,0.1519345352507362,0.00269014455890743,0.0871389365596831,0.0015934601675588905,0.5926484380000595,0.01183055344875636,0.7502 ± 0.0038,0.1519 ± 0.0027,0.0871 ± 0.0016,0.5926 ± 0.0118
random_forest,extended,5,0.748684538245018,0.0038978112708529787,0.15175905522814329,0.001964918510645386,0.0870184243503801,0.0011180570477007236,0.5928462129583474,0.01071435962318388,0.7487 ± 0.0039,0.1518 ± 0.0020,0.0870 ± 0.0011,0.5928 ± 0.0107
random_forest,baseline,5,0.692950635092667,0.005529180288364751,0.11630456843558727,0.0012803806525464973,0.06463406268201503,0.0007082935048941384,0.5798827130856895,0.007077616869753188,0.6930 ± 0.0055,0.1163 ± 0.0013,0.0646 ± 0.0007,0.5799 ± 0.0071
logistic_regression,extended,5,0.5882924492708078,0.004153815253326871,0.07654922041040861,0.0009106344043380259,0.04084079942363137,0.00048679878498868564,0.6091736861886623,0.008703456838155422,0.5883 ± 0.0042,0.0765 ± 0.0009,0.0408 ± 0.0005,0.6092 ± 0.0087
logistic_regression,extended_no_brs,5,0.586244300940938,0.003827976999258441,0.0761503967692088,0.0008499202195369391,0.040619494530655526,0.00045511603319360627,0.6078870107746965,0.0074219159257769935,0.5862 ± 0.0038,0.0762 ± 0.0008,0.0406 ± 0.0005,0.6079 ± 0.0074
logistic_regression,baseline,5,0.5089412433690546,0.0016766113841264164,0.06706370520194552,0.0006934435769933356,0.03531665187880769,0.00036813749559198183,0.6635494510215089,0.008054302541400035,0.5089 ± 0.0017,0.0671 ± 0.0007,0.0353 ± 0.0004,0.6635 ± 0.0081
